id	label	matches
http://linkedsdg.org/concept/b599185cc6391b4e6ae9b876a5accbc3	TEACHER TRAINING	http://eurovoc.europa.eu/1071;http://metadata.un.org/thesaurus/1006404
http://linkedsdg.org/concept/21c567405b233ab2e10ec1d313335628	GIRLS	http://metadata.un.org/thesaurus/1002684
http://linkedsdg.org/concept/77948c6cddea50d8997e05627c8f7a10	HARMFUL TRADITIONAL PRACTICES	http://metadata.un.org/thesaurus/1002819
http://linkedsdg.org/concept/d6423fd062d043dc91b1259d9430a81e	WOMEN'S ADVANCEMENT	http://metadata.un.org/thesaurus/1007030
http://linkedsdg.org/concept/0efe4d848851e0e65106ce23d96edceb	UNPAID WORK	http://eurovoc.europa.eu/3525;http://metadata.un.org/thesaurus/1006799
http://linkedsdg.org/concept/6b665d50bb81d2d8db4591454532ba51	COMMUNICATION TECHNOLOGY	http://metadata.un.org/thesaurus/1001133
http://linkedsdg.org/concept/ba6f3ba2097a722dd1716393b671e4c0	INFORMATION TECHNOLOGY	http://eurovoc.europa.eu/5188;http://metadata.un.org/thesaurus/1003205
http://linkedsdg.org/concept/00a5dfabc1eeb7b5f55927062a307d9d	MOBILE TELECOMMUNICATION SERVICES	http://metadata.un.org/thesaurus/1004189
http://linkedsdg.org/concept/2add2964642f39099cb51edf4a4f5a70	WATER	http://eurovoc.europa.eu/597;http://metadata.un.org/thesaurus/030500;http://metadata.un.org/thesaurus/1006939
http://linkedsdg.org/concept/a08eb92b216d34ba3aef38a873449b0d	DRINKING WATER	http://eurovoc.europa.eu/607;http://metadata.un.org/thesaurus/1001762
http://linkedsdg.org/concept/9689672df4839aca56252ef7dcf38e88	SANITATION	http://metadata.un.org/thesaurus/1005701
http://linkedsdg.org/concept/24afec39e5ea59326f1a3191cc9a7ef0	WATER MANAGEMENT	http://eurovoc.europa.eu/3144;http://metadata.un.org/thesaurus/1006948
http://linkedsdg.org/concept/68c65ef937619abc5a861584b1aa2a25	NATURAL RESOURCES	http://eurovoc.europa.eu/3549;http://metadata.un.org/thesaurus/1004343
http://linkedsdg.org/concept/bb23780cdc70a1557e4dd1a7cecd118a	ENERGY RESOURCES	http://eurovoc.europa.eu/3538;http://metadata.un.org/thesaurus/031000;http://metadata.un.org/thesaurus/1002035
http://linkedsdg.org/concept/46723061a57dc9cdec4ce082fe78b1eb	SUSTAINABLE ENERGY	http://metadata.un.org/thesaurus/1006320
http://linkedsdg.org/concept/5722eff365f1bf9d10ca616b4b00b64d	RENEWABLE ENERGY SOURCES	http://metadata.un.org/thesaurus/1005477
http://linkedsdg.org/concept/7a73998bfc1e41c8bd4b2e41a8c18b67	ENERGY EFFICIENCY	http://eurovoc.europa.eu/6700;http://metadata.un.org/thesaurus/1002028
http://linkedsdg.org/concept/e12f5d2cb26920abc227585f661f15c8	ECONOMIC GROWTH	http://eurovoc.europa.eu/310;http://metadata.un.org/thesaurus/1001854
http://linkedsdg.org/concept/33ef0a986b3767dae8fbc023f1e416bc	EMPLOYMENT	http://metadata.un.org/thesaurus/1002007
http://linkedsdg.org/concept/6c350230c4f22de00546d4dc872cf049	FULL EMPLOYMENT	http://eurovoc.europa.eu/2427;http://metadata.un.org/thesaurus/1002563
http://linkedsdg.org/concept/9feb24e23f8d6d59fafc993bab15001f	UNEMPLOYMENT	http://eurovoc.europa.eu/5974;http://metadata.un.org/thesaurus/1006773
http://linkedsdg.org/concept/4e000a5cc94dd3776ea54ae76533760a	LABOUR PRODUCTIVITY	http://metadata.un.org/thesaurus/1003566
http://linkedsdg.org/concept/adf4a79d9543378523a59c79aa3bf377	YOUTH EMPLOYMENT	http://eurovoc.europa.eu/3529;http://metadata.un.org/thesaurus/1007108
http://linkedsdg.org/concept/6abc506031e1d21f2d65a93ffe57a5cb	INTERNATIONAL TRADE	http://eurovoc.europa.eu/11;http://metadata.un.org/thesaurus/1003340
http://linkedsdg.org/concept/b7347f8e80b80933bbbc0511f11757e7	TRADE FINANCING	http://metadata.un.org/thesaurus/1006588
http://linkedsdg.org/concept/c2af5cf908e86db8ecf460c5ce0cb434	TRADE PROMOTION	http://eurovoc.europa.eu/2804;http://metadata.un.org/thesaurus/1006599
http://linkedsdg.org/concept/e3937c3c91a7a8789d7e7f863121001b	FINANCIAL SERVICES	http://eurovoc.europa.eu/8469;http://metadata.un.org/thesaurus/1002340
http://linkedsdg.org/concept/95eeb0880f9aa83243bc59c3878b9bff	INDUSTRIALIZATION	http://metadata.un.org/thesaurus/1003177
http://linkedsdg.org/concept/bb7075d5303bb529b63ebec08824655f	RESEARCH AND DEVELOPMENT	http://eurovoc.europa.eu/5237;http://metadata.un.org/thesaurus/1005499
http://linkedsdg.org/concept/9da882c0971c9ba4437399fab78a646f	PHYSICAL INFRASTRUCTURE	http://metadata.un.org/thesaurus/1004898
http://linkedsdg.org/concept/d3ca1088d421e96e1d98c83f5a39f0b7	TECHNOLOGICAL INNOVATIONS	http://metadata.un.org/thesaurus/1006426
http://linkedsdg.org/concept/27d95aa88017eefaff1c4d1679f5e02a	TECHNOLOGY	http://eurovoc.europa.eu/4415;http://metadata.un.org/thesaurus/1006429
http://linkedsdg.org/concept/ede101ea8c2ab4f693ed3eac10b7d5cb	INCOME DISTRIBUTION	http://metadata.un.org/thesaurus/1003084
http://linkedsdg.org/concept/22d77b4f36283fa15f20867ad3f2a30e	EQUALITY	http://metadata.un.org/thesaurus/1002102
http://linkedsdg.org/concept/426cb1ccfe646f0d47614d080ebf0056	SOCIAL SECURITY	http://eurovoc.europa.eu/4050;http://metadata.un.org/thesaurus/1005985
http://linkedsdg.org/concept/8450f399c4ec2a3778fce2a8046331cf	WAGES	http://metadata.un.org/thesaurus/1006915
http://linkedsdg.org/concept/b9aad868f8113b65366f1c9b219eb9c2	DEVELOPING COUNTRIES	http://eurovoc.europa.eu/2295;http://metadata.un.org/thesaurus/1001613
http://linkedsdg.org/concept/be369e521fc55f0a5281bcacd4e47038	EQUALITY OF STATES	http://metadata.un.org/thesaurus/1002104
http://linkedsdg.org/concept/9e819a34a693dcbb494abbc35352e355	INTERGOVERNMENTAL ORGANIZATIONS	http://metadata.un.org/thesaurus/1003263
http://linkedsdg.org/concept/b395169554991b23fd1834c6ee9d009e	DEVELOPMENT ASSISTANCE	http://metadata.un.org/thesaurus/1001619
http://linkedsdg.org/concept/d763ac4a35bc9e07b51d00b55104125d	REMITTANCES	http://metadata.un.org/thesaurus/1005471
http://linkedsdg.org/concept/2b8530b28e0c36c5819fd21a8c8e801a	CITIES	http://metadata.un.org/thesaurus/1000995
http://linkedsdg.org/concept/18a184c6e8398d2436807bdc214ca150	HUMAN SETTLEMENTS	http://metadata.un.org/thesaurus/1002986
http://linkedsdg.org/concept/e3c4abbfc5d65cdf8512e782752d889d	CLEANER PRODUCTION	http://metadata.un.org/thesaurus/1001025
http://linkedsdg.org/concept/b24a918e896b25b53eae5232e68d8722	SUSTAINABLE CONSUMPTION	http://metadata.un.org/thesaurus/1006318
http://linkedsdg.org/concept/183fdaa6b491ec70289516a19d8bc468	CONSUMPTION	http://eurovoc.europa.eu/139;http://metadata.un.org/thesaurus/1001264
http://linkedsdg.org/concept/86601675138015edb458866e7d879118	PRODUCTION	http://eurovoc.europa.eu/2707;http://metadata.un.org/thesaurus/1005146
http://linkedsdg.org/concept/2da3a4a0ba4b2dc38e32564dffa66fbc	CLIMATE CHANGE	http://eurovoc.europa.eu/5482;http://metadata.un.org/thesaurus/1001030
http://linkedsdg.org/concept/d890070d8de628e8f8f21f06502cf7fe	MARINE RESOURCES	http://metadata.un.org/thesaurus/030800;http://metadata.un.org/thesaurus/1003922
http://linkedsdg.org/concept/eb6e002bc46fee5867ea8cab8877c15c	MARINE ECOSYSTEMS	http://metadata.un.org/thesaurus/1003907
http://linkedsdg.org/concept/b9dbabf9f357a279a8bd61b1e25afe75	BIOLOGICAL DIVERSITY	http://metadata.un.org/thesaurus/1000612
http://linkedsdg.org/concept/8d6b874752249189d13cc28e462061ac	NATIONAL PARKS AND RESERVES	http://metadata.un.org/thesaurus/1004326
http://linkedsdg.org/concept/ce419a83b2038a89015fca0c91cb9baf	LAND, PLANT AND SOIL RESOURCES	http://metadata.un.org/thesaurus/030600
http://linkedsdg.org/concept/6e9310242e98fb081f9704501dcf5524	DEFORESTATION	http://eurovoc.europa.eu/339;http://metadata.un.org/thesaurus/1001550
http://linkedsdg.org/concept/75591b68ec00fcfb48bf50ee489e5e7c	MOUNTAIN ECOSYSTEMS	http://metadata.un.org/thesaurus/1004263
http://linkedsdg.org/concept/4d026d804248f015d92e160d2fc321af	ENDANGERED SPECIES	http://metadata.un.org/thesaurus/1002018
http://linkedsdg.org/concept/c121a1e7f51523de4877426745979288	GENETIC RESOURCES	http://metadata.un.org/thesaurus/1002625
http://linkedsdg.org/concept/66bd33a545a97d73b2d93c5c7db6cbce	CIVIL SOCIETY	http://eurovoc.europa.eu/8428;http://metadata.un.org/thesaurus/1001012
http://linkedsdg.org/concept/2d66a03a7e5627508e2e95e733562a41	JUSTICE	http://metadata.un.org/thesaurus/1003500
http://linkedsdg.org/concept/2b17ba5da26f75e83f474bd267e2aae7	PEACEFUL COEXISTENCE	http://metadata.un.org/thesaurus/1004777
http://linkedsdg.org/concept/745b01c3c026307b24055b20c1fa2358	SOCIAL JUSTICE	http://metadata.un.org/thesaurus/1005970
http://linkedsdg.org/concept/8a7f375aada595841fa1e521e929cefa	SUSTAINABLE DEVELOPMENT	http://eurovoc.europa.eu/5585;http://metadata.un.org/thesaurus/1006319
http://linkedsdg.org/concept/64cc5eb2ba63b067a3dd58d8165a290d	BIRTH REPORTING	http://metadata.un.org/thesaurus/1000633
http://linkedsdg.org/concept/ad933a61448c96517a776b62da34bfcb	CIVIL REGISTRATION	http://metadata.un.org/thesaurus/1001008
http://linkedsdg.org/concept/48c02bd2bcd10c7916995e4ffae504f8	HUMAN RIGHTS	http://eurovoc.europa.eu/584;http://metadata.un.org/thesaurus/1002975;http://metadata.un.org/thesaurus/140202
http://linkedsdg.org/concept/697b83a99aaed8adc497b1e9e9d9797e	RESOURCES MOBILIZATION	http://metadata.un.org/thesaurus/1005517
http://linkedsdg.org/concept/375b6bb968356c41e166e3cd5e59029f	PARTNERSHIP	http://eurovoc.europa.eu/4199;http://metadata.un.org/thesaurus/1004748
http://linkedsdg.org/concept/b655b13b8829b5c6c9369ce0e863397d	DEBT SERVICING	http://metadata.un.org/thesaurus/1001530
http://linkedsdg.org/concept/d56585de6f5565c12e18bde550824fa8	EXTERNAL DEBT	http://eurovoc.europa.eu/423;http://metadata.un.org/thesaurus/1002215
http://linkedsdg.org/concept/e43bd933c18b06d29f9c46cce78de0f2	INTERNET	http://eurovoc.europa.eu/6088;http://metadata.un.org/thesaurus/1003348
http://linkedsdg.org/concept/e479190f420a3462fcf70fa29541ccb4	PROGRAMME EVALUATION	http://metadata.un.org/thesaurus/1005167
http://linkedsdg.org/concept/2a2b5ee2d9d954bd107a16de699c793f	PROGRAMME OWNERSHIP	http://metadata.un.org/thesaurus/1005171
http://linkedsdg.org/concept/0534b2fca248984aefa1d80cbd4f4e20	FOREST ECOSYSTEMS	http://metadata.un.org/thesaurus/1002481
http://linkedsdg.org/concept/47f05303620599592ddfbe9cbbf9393d	FOREST MANAGEMENT	http://metadata.un.org/thesaurus/1002485
