id	label
http://data.un.org/kos/geo/156	China
http://data.un.org/kos/geo/344	China, Hong Kong Special Administrative Region
http://data.un.org/kos/geo/446	China, Macao Special Administrative Region
http://data.un.org/kos/geo/408	Democratic People's Republic of Korea
http://data.un.org/kos/geo/392	Japan
http://data.un.org/kos/geo/496	Mongolia
http://data.un.org/kos/geo/410	Republic of Korea
http://data.un.org/kos/geo/96	Brunei Darussalam
http://data.un.org/kos/geo/116	Cambodia
http://data.un.org/kos/geo/360	Indonesia
http://data.un.org/kos/geo/418	Lao People's Democratic Republic
http://data.un.org/kos/geo/458	Malaysia
http://data.un.org/kos/geo/104	Myanmar
http://data.un.org/kos/geo/608	Philippines
http://data.un.org/kos/geo/702	Singapore
http://data.un.org/kos/geo/764	Thailand
http://data.un.org/kos/geo/626	Timor-Leste
http://data.un.org/kos/geo/704	Viet Nam
http://data.un.org/kos/geo/4	Afghanistan
http://data.un.org/kos/geo/50	Bangladesh
http://data.un.org/kos/geo/64	Bhutan
http://data.un.org/kos/geo/356	India
http://data.un.org/kos/geo/364	Iran (Islamic Republic of)
http://data.un.org/kos/geo/462	Maldives
http://data.un.org/kos/geo/524	Nepal
http://data.un.org/kos/geo/586	Pakistan
http://data.un.org/kos/geo/144	Sri Lanka
http://data.un.org/kos/geo/51	Armenia
http://data.un.org/kos/geo/31	Azerbaijan
http://data.un.org/kos/geo/48	Bahrain
http://data.un.org/kos/geo/196	Cyprus
http://data.un.org/kos/geo/268	Georgia
http://data.un.org/kos/geo/368	Iraq
http://data.un.org/kos/geo/376	Israel
http://data.un.org/kos/geo/400	Jordan
http://data.un.org/kos/geo/414	Kuwait
http://data.un.org/kos/geo/422	Lebanon
http://data.un.org/kos/geo/512	Oman
http://data.un.org/kos/geo/634	Qatar
http://data.un.org/kos/geo/682	Saudi Arabia
http://data.un.org/kos/geo/275	State of Palestine
http://data.un.org/kos/geo/760	Syrian Arab Republic
http://data.un.org/kos/geo/792	Turkey
http://data.un.org/kos/geo/784	United Arab Emirates
http://data.un.org/kos/geo/887	Yemen
http://data.un.org/kos/geo/112	Belarus
http://data.un.org/kos/geo/100	Bulgaria
http://data.un.org/kos/geo/203	Czechia
http://data.un.org/kos/geo/348	Hungary
http://data.un.org/kos/geo/616	Poland
http://data.un.org/kos/geo/498	Republic of Moldova
http://data.un.org/kos/geo/642	Romania
http://data.un.org/kos/geo/643	Russian Federation
http://data.un.org/kos/geo/703	Slovakia
http://data.un.org/kos/geo/804	Ukraine
http://data.un.org/kos/geo/248	Åland Islands
http://data.un.org/kos/geo/208	Denmark
http://data.un.org/kos/geo/233	Estonia
http://data.un.org/kos/geo/234	Faroe Islands
http://data.un.org/kos/geo/246	Finland
http://data.un.org/kos/geo/352	Iceland
http://data.un.org/kos/geo/372	Ireland
http://data.un.org/kos/geo/833	Isle of Man
http://data.un.org/kos/geo/428	Latvia
http://data.un.org/kos/geo/440	Lithuania
http://data.un.org/kos/geo/578	Norway
http://data.un.org/kos/geo/744	Svalbard and Jan Mayen Islands
http://data.un.org/kos/geo/752	Sweden
http://data.un.org/kos/geo/826	United Kingdom of Great Britain and Northern Ireland
http://data.un.org/kos/geo/8	Albania
http://data.un.org/kos/geo/20	Andorra
http://data.un.org/kos/geo/70	Bosnia and Herzegovina
http://data.un.org/kos/geo/191	Croatia
http://data.un.org/kos/geo/292	Gibraltar
