id	label	name	source
http://data.un.org/kos/geo/76	BRA	Brazil	geo
http://data.un.org/kos/geo/152	CHL	Chile	geo
http://data.un.org/kos/geo/170	COL	Colombia	geo
http://data.un.org/kos/geo/218	ECU	Ecuador	geo
http://data.un.org/kos/geo/238	FLK	Falkland Islands (Malvinas)	geo
http://data.un.org/kos/geo/254	GUF	French Guiana	geo
http://data.un.org/kos/geo/328	GUY	Guyana	geo
http://data.un.org/kos/geo/600	PRY	Paraguay	geo
http://data.un.org/kos/geo/604	PER	Peru	geo
http://data.un.org/kos/geo/239	SGS	South Georgia and the South Sandwich Islands	geo
http://data.un.org/kos/geo/740	SUR	Suriname	geo
http://data.un.org/kos/geo/858	URY	Uruguay	geo
http://data.un.org/kos/geo/862	VEN	Venezuela (Bolivarian Republic of)	geo
http://data.un.org/kos/geo/831	GGY	Guernsey	geo
http://data.un.org/kos/geo/832	JEY	Jersey	geo
http://data.un.org/kos/geo/680	Sark	Sark	geo
http://data.un.org/kos/geo/12	DZA	Algeria	geo
http://data.un.org/kos/geo/818	EGY	Egypt	geo
http://data.un.org/kos/geo/434	LBY	Libya	geo
http://data.un.org/kos/geo/504	MAR	Morocco	geo
http://data.un.org/kos/geo/729	SDN	Sudan	geo
http://data.un.org/kos/geo/788	TUN	Tunisia	geo
http://data.un.org/kos/geo/732	ESH	Western Sahara	geo
http://data.un.org/kos/geo/60	BMU	Bermuda	geo
http://data.un.org/kos/geo/124	CAN	Canada	geo
http://data.un.org/kos/geo/304	GRL	Greenland	geo
http://data.un.org/kos/geo/666	SPM	Saint Pierre and Miquelon	geo
http://data.un.org/kos/geo/840	USA	United States of America	geo
http://data.un.org/kos/geo/10	ATA	Antarctica	geo
http://data.un.org/kos/geo/398	KAZ	Kazakhstan	geo
http://data.un.org/kos/geo/417	KGZ	Kyrgyzstan	geo
http://data.un.org/kos/geo/762	TJK	Tajikistan	geo
http://data.un.org/kos/geo/795	TKM	Turkmenistan	geo
http://data.un.org/kos/geo/860	UZB	Uzbekistan	geo
http://data.un.org/kos/geo/156	CHN	China	geo
http://data.un.org/kos/geo/344	HKG	China, Hong Kong Special Administrative Region	geo
http://data.un.org/kos/geo/446	MAC	China, Macao Special Administrative Region	geo
http://data.un.org/kos/geo/408	PRK	Democratic People's Republic of Korea	geo
http://data.un.org/kos/geo/392	JPN	Japan	geo
http://data.un.org/kos/geo/496	MNG	Mongolia	geo
http://data.un.org/kos/geo/410	KOR	Republic of Korea	geo
http://data.un.org/kos/geo/96	BRN	Brunei Darussalam	geo
http://data.un.org/kos/geo/116	KHM	Cambodia	geo
http://data.un.org/kos/geo/360	IDN	Indonesia	geo
http://data.un.org/kos/geo/418	LAO	Lao People's Democratic Republic	geo
http://data.un.org/kos/geo/458	MYS	Malaysia	geo
http://data.un.org/kos/geo/104	MMR	Myanmar	geo
http://data.un.org/kos/geo/608	PHL	Philippines	geo
http://data.un.org/kos/geo/702	SGP	Singapore	geo
http://data.un.org/kos/geo/764	THA	Thailand	geo
http://data.un.org/kos/geo/626	TLS	Timor-Leste	geo
http://data.un.org/kos/geo/704	VNM	Viet Nam	geo
http://data.un.org/kos/geo/4	AFG	Afghanistan	geo
http://data.un.org/kos/geo/50	BGD	Bangladesh	geo
http://data.un.org/kos/geo/64	BTN	Bhutan	geo
http://data.un.org/kos/geo/356	IND	India	geo
http://data.un.org/kos/geo/364	IRN	Iran (Islamic Republic of)	geo
http://data.un.org/kos/geo/462	MDV	Maldives	geo
http://data.un.org/kos/geo/524	NPL	Nepal	geo
http://data.un.org/kos/geo/586	PAK	Pakistan	geo
http://data.un.org/kos/geo/144	LKA	Sri Lanka	geo
http://data.un.org/kos/geo/51	ARM	Armenia	geo
http://data.un.org/kos/geo/31	AZE	Azerbaijan	geo
http://data.un.org/kos/geo/48	BHR	Bahrain	geo
http://data.un.org/kos/geo/196	CYP	Cyprus	geo
http://data.un.org/kos/geo/268	GEO	Georgia	geo
http://data.un.org/kos/geo/368	IRQ	Iraq	geo
http://data.un.org/kos/geo/376	ISR	Israel	geo
http://data.un.org/kos/geo/400	JOR	Jordan	geo
http://data.un.org/kos/geo/414	KWT	Kuwait	geo
http://data.un.org/kos/geo/422	LBN	Lebanon	geo
http://data.un.org/kos/geo/512	OMN	Oman	geo
http://data.un.org/kos/geo/634	QAT	Qatar	geo
http://data.un.org/kos/geo/682	SAU	Saudi Arabia	geo
http://data.un.org/kos/geo/275	PSE	State of Palestine	geo
http://data.un.org/kos/geo/760	SYR	Syrian Arab Republic	geo
http://data.un.org/kos/geo/792	TUR	Turkey	geo
http://data.un.org/kos/geo/784	ARE	United Arab Emirates	geo
http://data.un.org/kos/geo/887	YEM	Yemen	geo
http://data.un.org/kos/geo/112	BLR	Belarus	geo
http://data.un.org/kos/geo/100	BGR	Bulgaria	geo
http://data.un.org/kos/geo/203	CZE	Czechia	geo
http://data.un.org/kos/geo/348	HUN	Hungary	geo
http://data.un.org/kos/geo/616	POL	Poland	geo
http://data.un.org/kos/geo/498	MDA	Republic of Moldova	geo
http://data.un.org/kos/geo/642	ROU	Romania	geo
http://data.un.org/kos/geo/643	RUS	Russian Federation	geo
http://data.un.org/kos/geo/703	SVK	Slovakia	geo
http://data.un.org/kos/geo/804	UKR	Ukraine	geo
http://data.un.org/kos/geo/248	ALA	Åland Islands	geo
http://data.un.org/kos/geo/208	DNK	Denmark	geo
http://data.un.org/kos/geo/233	EST	Estonia	geo
http://data.un.org/kos/geo/234	FRO	Faroe Islands	geo
http://data.un.org/kos/geo/246	FIN	Finland	geo
http://data.un.org/kos/geo/352	ISL	Iceland	geo
http://data.un.org/kos/geo/372	IRL	Ireland	geo
http://data.un.org/kos/geo/833	IMN	Isle of Man	geo
http://data.un.org/kos/geo/428	LVA	Latvia	geo
http://data.un.org/kos/geo/440	LTU	Lithuania	geo
http://data.un.org/kos/geo/578	NOR	Norway	geo
http://data.un.org/kos/geo/744	SJM	Svalbard and Jan Mayen Islands	geo
