id,label,source
http://metadata.un.org/thesaurus#1005619,RULE OF LAW,UNBIS
http://metadata.un.org/thesaurus#1002612,GENDER EQUALITY,UNBIS
http://metadata.un.org/thesaurus#1007029,WOMEN,UNBIS
http://metadata.un.org/thesaurus#1007030,WOMEN'S ADVANCEMENT,UNBIS
http://metadata.un.org/thesaurus#1007043,WOMEN MANAGERS,UNBIS
http://metadata.un.org/thesaurus#1002712,GOODS TRANSPORT,UNBIS
http://metadata.un.org/thesaurus#1006657,TRANSPORT INFRASTRUCTURE,UNBIS
http://metadata.un.org/thesaurus#1004750,PASSENGER TRANSPORT,UNBIS
http://metadata.un.org/thesaurus#1001133,COMMUNICATION TECHNOLOGY,UNBIS
http://metadata.un.org/thesaurus#1004189,MOBILE TELECOMMUNICATION SERVICES,UNBIS
http://metadata.un.org/thesaurus#1003348,INTERNET,UNBIS
http://metadata.un.org/thesaurus#1003177,INDUSTRIALIZATION,UNBIS
http://metadata.un.org/thesaurus#1006426,TECHNOLOGICAL INNOVATIONS,UNBIS
http://metadata.un.org/thesaurus#1006429,TECHNOLOGY,UNBIS
http://metadata.un.org/thesaurus#1001190,COMPUTER LITERACY,UNBIS
http://metadata.un.org/thesaurus#1001203,COMPUTERS,UNBIS
http://metadata.un.org/thesaurus#1001902,EDUCATIONAL FACILITIES,UNBIS
http://metadata.un.org/thesaurus#1001762,DRINKING WATER,UNBIS
http://metadata.un.org/thesaurus#1005699,SANITARY FACILITIES,UNBIS
http://metadata.un.org/thesaurus#1007107,YOUTH,UNBIS
http://metadata.un.org/thesaurus#1000952,CHILDREN,UNBIS
http://metadata.un.org/thesaurus#1002684,GIRLS,UNBIS
http://metadata.un.org/thesaurus#1003770,LITERACY,UNBIS
http://metadata.un.org/thesaurus#1003991,MATHEMATICS,UNBIS
http://metadata.un.org/thesaurus#160600,MATHEMATICS,UNBIS
http://metadata.un.org/thesaurus#1006404,TEACHER TRAINING,UNBIS
http://metadata.un.org/thesaurus#1006405,TEACHERS,UNBIS
http://metadata.un.org/thesaurus#1005087,PRESCHOOL EDUCATION,UNBIS
http://metadata.un.org/thesaurus#1001694,DISASTER PREVENTION,UNBIS
http://metadata.un.org/thesaurus#1004982,POLITICAL PARTICIPATION,UNBIS
http://metadata.un.org/thesaurus#1000018,ACCESS TO INFORMATION,UNBIS
http://metadata.un.org/thesaurus#1002104,EQUALITY OF STATES,UNBIS
http://metadata.un.org/thesaurus#1003263,INTERGOVERNMENTAL ORGANIZATIONS,UNBIS
http://metadata.un.org/thesaurus#1002975,HUMAN RIGHTS,UNBIS
http://metadata.un.org/thesaurus#1002981,HUMAN RIGHTS INSTITUTIONS,UNBIS
http://metadata.un.org/thesaurus#140202,HUMAN RIGHTS,UNBIS
http://metadata.un.org/thesaurus#1005167,PROGRAMME EVALUATION,UNBIS
http://metadata.un.org/thesaurus#1005171,PROGRAMME OWNERSHIP,UNBIS
http://metadata.un.org/thesaurus#1005527,RESULTS-BASED MANAGEMENT,UNBIS
http://metadata.un.org/thesaurus#1001008,CIVIL REGISTRATION,UNBIS
http://metadata.un.org/thesaurus#1000633,BIRTH REPORTING,UNBIS
http://metadata.un.org/thesaurus#1000878,CENSUSES,UNBIS
